via,NPTH,PTH,count,start_layer,end_layer,metric_min_mm,metric_max_mm,imperial_min_in,imperial_max_in,positions_mm,positions_in
false,false,true,3,1,16,2.667000,2.667000,0.105000,0.105000,(53.340000 61.360000)(60.090000 54.610000)(46.590000 54.610000),(2.100000 2.415748)(2.365748 2.150000)(1.834252 2.150000)
false,true,false,4,1,16,2.000000,2.000000,0.078740,0.078740,(11.303000 44.196000)(11.303000 65.024000)(34.417000 65.024000)(34.417000 44.196000),(0.445000 1.740000)(0.445000 2.560000)(1.355000 2.560000)(1.355000 1.740000)
false,false,true,2,1,16,1.320800,1.320800,0.052000,0.052000,(92.633800 50.800000)(82.626200 50.800000),(3.647000 2.000000)(3.253000 2.000000)
false,true,true,8,1,16,1.000000,1.000000,0.039370,0.039370,(83.820000 8.550000)(83.820000 29.550000)(59.690000 29.550000)(59.690000 8.550000)(10.160000 50.800000)(10.160000 53.340000)(10.160000 55.880000)(10.160000 58.420000),(3.300000 0.336614)(3.300000 1.163386)(2.350000 1.163386)(2.350000 0.336614)(0.400000 2.000000)(0.400000 2.100000)(0.400000 2.200000)(0.400000 2.300000)
false,false,true,6,1,16,0.981000,0.981000,0.038622,0.038622,(24.130000 29.210000)(26.670000 29.210000)(34.290000 29.210000)(36.830000 29.210000)(12.700000 29.210000)(15.240000 29.210000),(0.950000 1.150000)(1.050000 1.150000)(1.350000 1.150000)(1.450000 1.150000)(0.500000 1.150000)(0.600000 1.150000)
false,true,false,2,1,16,0.850000,0.850000,0.033465,0.033465,(22.860000 10.160000)(13.970000 10.160000),(0.900000 0.400000)(0.550000 0.400000)
false,false,true,2,1,16,0.812800,0.812800,0.032000,0.032000,(86.360000 82.550000)(86.360000 74.930000),(3.400000 3.250000)(3.400000 2.950000)
false,false,true,4,1,16,0.800000,0.800000,0.031496,0.031496,(83.820000 29.550000)(83.820000 8.550000)(59.690000 29.550000)(59.690000 8.550000),(3.300000 1.163386)(3.300000 0.336614)(2.350000 1.163386)(2.350000 0.336614)
false,false,true,18,1,16,0.660000,0.660000,0.025984,0.025984,(34.290000 12.890000)(53.530000 35.560000)(60.770000 35.560000)(63.690000 35.560000)(70.930000 35.560000)(73.850000 35.560000)(81.090000 35.560000)(72.390000 45.910000)(72.390000 53.150000)(46.990000 75.120000)(46.990000 82.360000)(40.640000 75.120000)(40.640000 82.360000)(34.290000 75.120000)(34.290000 82.360000)(41.910000 12.890000)(41.910000 20.130000)(34.290000 20.130000),(1.350000 0.507480)(2.107480 1.400000)(2.392520 1.400000)(2.507480 1.400000)(2.792520 1.400000)(2.907480 1.400000)(3.192520 1.400000)(2.850000 1.807480)(2.850000 2.092520)(1.850000 2.957480)(1.850000 3.242520)(1.600000 2.957480)(1.600000 3.242520)(1.350000 2.957480)(1.350000 3.242520)(1.650000 0.507480)(1.650000 0.792520)(1.350000 0.792520)
true,false,false,8,1,16,0.350000,0.350000,0.013780,0.013780,(16.827500 24.765000)(75.565000 82.232500)(71.437500 84.455000)(68.580000 75.565000)(68.897500 66.357500)(68.262500 63.182500)(81.915000 81.280000)(82.550000 79.692500),(0.662500 0.975000)(2.975000 3.237500)(2.812500 3.325000)(2.700000 2.975000)(2.712500 2.612500)(2.687500 2.487500)(3.225000 3.200000)(3.250000 3.137500)
false,true,false,4,1,16,0.076200,0.076200,0.003000,0.003000,(2.540000 88.900000)(2.540000 2.540000)(99.060000 2.540000)(99.060000 88.900000),(0.100000 3.500000)(0.100000 0.100000)(3.900000 0.100000)(3.900000 3.500000)